trace_index,call_type,from,to,value_eth,decoded_input
919,delegatecall,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x2ce6311ddae708829bc0784c967b7d77d19fd779,0.0,"transfer(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,uint256=19403880776155)"
920,staticcall,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0.0,balanceOf(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608)
921,delegatecall,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x2ce6311ddae708829bc0784c967b7d77d19fd779,0.0,balanceOf(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608)
922,call,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0.0,"swap(address=0x98e938899902217465f17cf0b76d12b3dca8ce1b,bool=true,int256=-19400000000000,uint160=4295128740,bytes=0x0000000000000000000000004200000000000000000000000000000000000006000000000000000000000000833589fcd6edb6e08f4c7c32d4f71b54bda02913)"
923,call,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0.0,"transfer(address=0x98e938899902217465f17cf0b76d12b3dca8ce1b,uint256=19400000000000)"
924,delegatecall,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x2ce6311ddae708829bc0784c967b7d77d19fd779,0.0,"transfer(address=0x98e938899902217465f17cf0b76d12b3dca8ce1b,uint256=19400000000000)"
925,staticcall,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x4200000000000000000000000000000000000006,0.0,balanceOf(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608)
926,call,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0.0,"uniswapV3SwapCallback(int256=13495950279046687164,int256=-19400000000000,bytes=0x0000000000000000000000004200000000000000000000000000000000000006000000000000000000000000833589fcd6edb6e08f4c7c32d4f71b54bda02913)"
927,call,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0x4200000000000000000000000000000000000006,0.0,"transfer(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,uint256=13495950279046687164)"
928,staticcall,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x4200000000000000000000000000000000000006,0.0,balanceOf(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608)
929,call,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0.0,"swap(address=0x98e938899902217465f17cf0b76d12b3dca8ce1b,bool=false,int256=19403880776155,uint160=1461446703485210103287273052203988822378723970341,bytes=0x0000000000000000000000004200000000000000000000000000000000000006000000000000000000000000833589fcd6edb6e08f4c7c32d4f71b54bda02913)"
930,call,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x4200000000000000000000000000000000000006,0.0,"transfer(address=0x98e938899902217465f17cf0b76d12b3dca8ce1b,uint256=13493251088988179418)"
931,staticcall,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0.0,balanceOf(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608)
932,delegatecall,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x2ce6311ddae708829bc0784c967b7d77d19fd779,0.0,balanceOf(address=0x1c450d7d1fd98a0b04e30decfc83497b33a4f608)
933,call,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0.0,"uniswapV3SwapCallback(int256=-13493251088988179418,int256=19403880776155,bytes=0x0000000000000000000000004200000000000000000000000000000000000006000000000000000000000000833589fcd6edb6e08f4c7c32d4f71b54bda02913)"
