trace_index,call_type,from,to,value_eth,decoded_input
264,staticcall,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0.0,earnedToken(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
265,delegatecall,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0x559bee76ec549e70630e451d46cb442ef5c230fd,0.0,earnedToken(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
266,staticcall,0x10ed43c718714eb63d5aa57b78b54704e256024e,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.0,balanceOf(address=0x10ed43c718714eb63d5aa57b78b54704e256024e)
267,call,0x10ed43c718714eb63d5aa57b78b54704e256024e,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.0,withdraw(uint256=20023724937685)
268,call,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x10ed43c718714eb63d5aa57b78b54704e256024e,2.0023724937685e-05,
269,call,0x10ed43c718714eb63d5aa57b78b54704e256024e,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,2.0023724937685e-05,
270,delegatecall,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0x559bee76ec549e70630e451d46cb442ef5c230fd,2.0023724937685e-05,
271,call,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0x7022ff59cc52f812ccf09986941378f6422cac1b,2.0023724937685e-05,
272,delegatecall,0x7022ff59cc52f812ccf09986941378f6422cac1b,0xf5f989c685e4435dd9402b28c2a30cab1e463fd1,2.0023724937685e-05,
273,staticcall,0x7022ff59cc52f812ccf09986941378f6422cac1b,0x10ed43c718714eb63d5aa57b78b54704e256024e,0.0,WETH()
274,call,0x7022ff59cc52f812ccf09986941378f6422cac1b,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,2.0023724937685e-05,deposit()
275,call,0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,3125.6281481864153,deposit()
276,call,0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.0,"transfer(address=0x172fcd41e0913e95784454622d1c3724f546f849,uint256=2814050882495007787771)"
277,staticcall,0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.0,balanceOf(address=0xfd9267ee6594bd8e82e8030c353870fa1773f7f8)
278,call,0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.0,withdraw(uint256=311577265691407652863)
279,call,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,311.57726569140766,
280,call,0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,0xd3b0d838ccceae7ebf1781d11d1bb741db7fe1a7,0.1,
281,call,0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,0xad2cb8f48e74065a0b884af9c5a4ecbba101be23,311.47726569140764,
282,staticcall,0x172fcd41e0913e95784454622d1c3724f546f849,0x55d398326f99059ff775485246999027b3197955,0.0,balanceOf(address=0x172fcd41e0913e95784454622d1c3724f546f849)
283,staticcall,0x172fcd41e0913e95784454622d1c3724f546f849,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.0,balanceOf(address=0x172fcd41e0913e95784454622d1c3724f546f849)
